Time,Speed_kmh,SOC_%,Temp_C,Torque_Nm,RPM,Throttle_%,Brake_%,Mode,G_Force,Distance_km,CAN_ID
04:11:17,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:18,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:19,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:20,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:21,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:22,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:23,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:24,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:25,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:26,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:27,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:28,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:29,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:30,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:31,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:32,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:33,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:34,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:35,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:36,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:37,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:38,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:39,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:40,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:41,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:42,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:43,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:44,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
